"","player_name","team_name","action_type","shot_zone_range","shot_zone","shot_type"
"967","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"968","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"969","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"970","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"971","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"972","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"973","Stephen Curry","Golden State Warriors","Jump Shot","8-16 ft.",2,"Jump"
"974","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"975","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"976","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"977","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"978","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"979","Stephen Curry","Golden State Warriors","Jump Shot","8-16 ft.",2,"Jump"
"980","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"981","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"982","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"983","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"984","Stephen Curry","Golden State Warriors","Step Back Jump shot","24+ ft.",4,"Jump"
