person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,team_id,team_city,team_name,team_abbreviation,team_code,games_played_flag
202726,Goudelock, Andrew,Andrew Goudelock,TRUE,2011,2015,andrew_goudelock,1610612745,Houston,Rockets,HOU,rockets,Y
203924,Grant, Jerami,Jerami Grant,TRUE,2014,2015,jerami_grant,1610612755,Philadelphia,76ers,PHI,sixers,Y
1626170,Grant, Jerian,Jerian Grant,TRUE,2015,2015,jerian_grant,1610612752,New York,Knicks,NYK,knicks,Y
201980,Green, Danny,Danny Green,TRUE,2009,2015,daniel_green,1610612759,San Antonio,Spurs,SAS,spurs,Y
203110,Green, Draymond,Draymond Green,TRUE,2012,2015,draymond_green,1610612744,Golden State,Warriors,GSW,warriors,Y
101123,Green, Gerald,Gerald Green,TRUE,2005,2015,gerald_green,1610612748,Miami,Heat,MIA,heat,Y
203210,Green, JaMychal,JaMychal Green,TRUE,2014,2015,jamychal_green,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y
201145,Green, Jeff,Jeff Green,TRUE,2007,2015,jeff_green,1610612746,Los Angeles,Clippers,LAC,clippers,Y
201933,Griffin, Blake,Blake Griffin,TRUE,2009,2015,blake_griffin,1610612746,Los Angeles,Clippers,LAC,clippers,Y
203268,Gutierrez, Jorge,Jorge Gutierrez,TRUE,2013,2015,jorge_gutierrez,1610612766,Charlotte,Hornets,CHA,hornets,Y
203798,Hairston, PJ,PJ Hairston,TRUE,2014,2015,pj_hairston,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y
202706,Hamilton, Jordan,Jordan Hamilton,TRUE,2011,2015,jordan_hamilton,1610612740,New Orleans,Pelicans,NOP,pelicans,Y
201946,Hansbrough, Tyler,Tyler Hansbrough,TRUE,2009,2015,tyler_hansbrough,1610612766,Charlotte,Hornets,CHA,hornets,Y
203501,Hardaway Jr., Tim,Tim Hardaway Jr.,TRUE,2013,2015,timothy_hardaway,1610612737,Atlanta,Hawks,ATL,hawks,Y
201935,Harden, James,James Harden,TRUE,2009,2015,james_harden,1610612745,Houston,Rockets,HOU,rockets,Y
203090,Harkless, Maurice,Maurice Harkless,TRUE,2012,2015,maurice_harkless,1610612757,Portland,Trail Blazers,POR,blazers,Y
1626149,Harrell, Montrezl,Montrezl Harrell,TRUE,2015,2015,montrezl_harrell,1610612745,Houston,Rockets,HOU,rockets,Y
2734,Harris, Devin,Devin Harris,TRUE,2004,2015,devin_harris,1610612742,Dallas,Mavericks,DAL,mavericks,Y
203914,Harris, Gary,Gary Harris,TRUE,2014,2015,gary_harris,1610612743,Denver,Nuggets,DEN,nuggets,Y
202699,Harris, Tobias,Tobias Harris,TRUE,2011,2015,tobias_harris,1610612765,Detroit,Pistons,DET,pistons,Y
1626151,Harrison, Aaron,Aaron Harrison,TRUE,2015,2015,aaron_harrison,1610612766,Charlotte,Hornets,CHA,hornets,Y
2617,Haslem, Udonis,Udonis Haslem,TRUE,2003,2015,udonis_haslem,1610612748,Miami,Heat,MIA,heat,Y
201150,Hawes, Spencer,Spencer Hawes,TRUE,2007,2015,spencer_hawes,1610612766,Charlotte,Hornets,CHA,hornets,Y
202330,Hayward, Gordon,Gordon Hayward,TRUE,2010,2015,gordon_hayward,1610612762,Utah,Jazz,UTA,jazz,Y
201945,Henderson, Gerald,Gerald Henderson,TRUE,2009,2015,gerald_henderson,1610612757,Portland,Trail Blazers,POR,blazers,Y
203089,Henson, John,John Henson,TRUE,2012,2015,john_henson,1610612749,Milwaukee,Bucks,MIL,bucks,Y
1626209,Hezonja, Mario,Mario Hezonja,TRUE,2015,2015,mario_hezonja,1610612753,Orlando,Magic,ORL,magic,Y
201579,Hibbert, Roy,Roy Hibbert,TRUE,2008,2015,roy_hibbert,1610612747,Los Angeles,Lakers,LAL,lakers,Y
201581,Hickson, JJ,JJ Hickson,TRUE,2008,2015,jj_hickson,1610612764,Washington,Wizards,WAS,wizards,Y
2403,Nene,Nene,TRUE,2002,2015,nene,1610612764,Washington,Wizards,WAS,wizards,Y
201588,Hill, George,George Hill,TRUE,2008,2015,george_hill,1610612754,Indiana,Pacers,IND,pacers,Y
201941,Hill, Jordan,Jordan Hill,TRUE,2009,2015,jordan_hill,1610612754,Indiana,Pacers,IND,pacers,Y
203524,Hill, Solomon,Solomon Hill,TRUE,2013,2015,solomon_hill,1610612754,Indiana,Pacers,IND,pacers,Y
1626199,Hilliard, Darrun,Darrun Hilliard,TRUE,2015,2015,darrun_hilliard,1610612765,Detroit,Pistons,DET,pistons,Y
2550,Hinrich, Kirk,Kirk Hinrich,TRUE,2003,2015,kirk_hinrich,1610612737,Atlanta,Hawks,ATL,hawks,Y
201950,Holiday, Jrue,Jrue Holiday,TRUE,2009,2015,jrue_holiday,1610612740,New Orleans,Pelicans,NOP,pelicans,Y
203200,Holiday, Justin,Justin Holiday,TRUE,2012,2015,justin_holiday,1610612741,Chicago,Bulls,CHI,bulls,Y
200797,Hollins, Ryan,Ryan Hollins,TRUE,2006,2015,ryan_hollins,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y
1626178,Hollis-Jefferson, Rondae,Rondae Hollis-Jefferson,TRUE,2015,2015,rondae_hollis-jefferson,1610612751,Brooklyn,Nets,BKN,nets,Y
1626158,Holmes, Richaun,Richaun Holmes,TRUE,2015,2015,richaun_holmes,1610612755,Philadelphia,76ers,PHI,sixers,Y
203918,Hood, Rodney,Rodney Hood,TRUE,2014,2015,rodney_hood,1610612762,Utah,Jazz,UTA,jazz,Y
201143,Horford, Al,Al Horford,TRUE,2007,2015,al_horford,1610612737,Atlanta,Hawks,ATL,hawks,Y
2730,Howard, Dwight,Dwight Howard,TRUE,2004,2015,dwight_howard,1610612745,Houston,Rockets,HOU,rockets,Y
1626273,Huertas, Marcelo,Marcelo Huertas,TRUE,2015,2015,marcelo_huertas,1610612747,Los Angeles,Lakers,LAL,lakers,Y
203962,Huestis, Josh,Josh Huestis,TRUE,2015,2015,josh_huestis,1610612760,Oklahoma City,Thunder,OKC,thunder,Y
2743,Humphries, Kris,Kris Humphries,TRUE,2004,2015,kris_humphries,1610612737,Atlanta,Hawks,ATL,hawks,Y
1626154,Hunter, RJ,RJ Hunter,TRUE,2015,2015,rj_hunter,1610612738,Boston,Celtics,BOS,celtics,Y
201586,Ibaka, Serge,Serge Ibaka,TRUE,2009,2015,serge_ibaka,1610612760,Oklahoma City,Thunder,OKC,thunder,Y
2738,Iguodala, Andre,Andre Iguodala,TRUE,2004,2015,andre_iguodala,1610612744,Golden State,Warriors,GSW,warriors,Y
